PRED,IMAGE,CONF
3MC621,090013_1701111633276F02_481,934
5687N,090008_1701115161362R02_771,942
4JKH21,090104_1701115945349R03_571,938
3APS31,090102_1701094121919F03_051,921
C272561,090107_1701117348397F03_681,878
2JE562,090013_1701098150208F03_201,926
LV86625,090111_1701114944533F03_791,890
4LZZ45,090106_1701093172910F03_901,942
2JRN24,090110_1701115491625R04_961,936
4ES442,090104_1701118194777R03_841,938
LV84236,090112_1701100478890R02_591,883
2GN648,090009_1701121348117R04_061,934
1AN913,090108_1701107084241F03_201,939
241B50,011116_1701092113578R01_551,942
W15829,001015_1701106116927R04_151,943
LFA7487,090003_1701101450690R03_831,911
3ZGH11,090111_1701101314184F02_881,926
8SW585,090105_1701096483943F02_331,927
232JS9,090103_1701117364074R02_381,937
LVB1066,090106_1701112328671R04_861,918
4HLK87,001315_1701115292553F02_235,910
4HFB35,090109_1701109270719R04_741,947
